policy,grid_i,grid_j,stage_k,fraction_estimated_contrast_positive,median_estimated_contrast,fraction_discrepancy_nonnegative,median_global_contrast,median_discrepancy
epsilon_greedy,1,40,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,40,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,41,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,41,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,42,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,42,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,43,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,43,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,44,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,44,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,45,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,45,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,46,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,46,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,47,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,47,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,48,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,1,48,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,1,49,1,1.0,1.0000390007740805,0.5625,0.999964,5.4000774080353864e-05
epsilon_greedy,1,49,2,0.75,0.2500105002205283,0.4375,0.2500255,-4.998004725642602e-07
epsilon_greedy,2,0,1,1.0,1.0000390007380793,0.59375,0.999967,5.40007380789298e-05
epsilon_greedy,2,0,2,0.78125,0.2500135002700101,0.53125,0.25001675,2.655121678074579e-10
epsilon_greedy,2,1,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,1,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,2,2,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,2,2,0.75,0.25001050021002763,0.46875,0.250035,-4.99789972352449e-07
epsilon_greedy,2,3,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,3,2,0.75,0.25001050021002763,0.46875,0.250035,-4.99789972352449e-07
epsilon_greedy,2,4,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,4,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,2,5,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,5,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,2,6,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,6,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,2,7,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,7,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,2,8,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,8,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,2,9,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,9,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
epsilon_greedy,2,10,1,1.0,0.9942423251770526,0.5,0.999964,-0.005712674822947461
epsilon_greedy,2,10,2,0.75,0.2500105002100276,0.46875,0.250035,-4.997899724079602e-07
