policy,grid_i,grid_j,bias_p1,bias_p2,p_stage0,p_stage1,p_stage2,p_mixed,modal_outcome,outcome_entropy,n_replicates,final_horizon,stable_fraction,mean_first_dominance_time,mean_terminal_stage0_share,median_terminal_stage0_share,p10_terminal_stage0_share,mean_terminal_off_diagonal_share,mean_terminal_residual_share,fraction_reaching_attraction,median_first_attraction_time,p10_first_attraction_time,p90_first_attraction_time,fraction_exiting_after_entry,mean_reentries,mean_dominance_exits,median_last_exit_time,first_attraction_spread,terminal_residual_share_for_plot,terminal_off_diagonal_share_for_plot,median_stage0_margin,p10_stage0_margin,fraction_stage0_ranked_highest,mean_final_stage0_action_share,median_stage0_selection_probability
epsilon_greedy,0,47,-2.0,1.8367346938775508,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.7565692610485595,0.002015898419365181,1.0,0.99945225,
epsilon_greedy,0,48,-2.0,1.9183673469387752,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.7565692610485595,0.002015898419365181,1.0,0.99945225,
epsilon_greedy,0,49,-2.0,2.0,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,353.75,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,835.0,0.0,0.0,0.0,,835.0,3.0000000000030003e-06,3.0000000000030003e-06,0.8810802568492818,0.002015898419365181,1.0,0.999564625,
epsilon_greedy,1,0,-1.9183673469387752,-2.0,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,346.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,835.0,0.0,0.0,0.0,,835.0,3.0000000000030003e-06,3.0000000000030003e-06,0.8810802568492818,0.001089363634269791,1.0,0.9995753125,
epsilon_greedy,1,1,-1.9183673469387752,-1.9183673469387752,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,2,-1.9183673469387752,-1.836734693877551,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,3,-1.9183673469387752,-1.7551020408163265,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,4,-1.9183673469387752,-1.673469387755102,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,5,-1.9183673469387752,-1.5918367346938775,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
epsilon_greedy,1,6,-1.9183673469387752,-1.510204081632653,1.0,0.0,0.0,0.0,0,0.0,16,500000,1.0,462.5625,0.999997,1.0,0.999992,3.0000000000030003e-06,3.0000000000030003e-06,1.0,0.0,0.0,1375.0,0.0,0.0,0.0,,1375.0,3.0000000000030003e-06,3.0000000000030003e-06,0.5690350669170203,0.001089363634269791,1.0,0.999451125,
